pair_address,pair_name,liquidity,tokens_0_name,tokens_0_address,tokens_1_name,tokens_1_address
0x1e67124681b402064cd0abe8ed1b5c79d2e02f64,USDC-BCT,16407271.17,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,BCT,0x2f800db0fdb5223b3c3f354886d907a671414a7f
0xde990994309bc08e57aca82b1a19170ad84323e8,USDC-GDDY,8079010.50,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,GDDY,0x67eb41a14c0fe5cd701fc9d5a3d6597a72f641a6
0x5786b267d35f9d011c4750e0b0ba584e1fdbead1,USDC-KLIMA,4498825.36,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,KLIMA,0x4e78011ce80ee02d2c3e649fb657e45898257815
0x9803c7ae526049210a1725f7487af26fe2c24614,BCT-KLIMA,4106701.13,BCT,0x2f800db0fdb5223b3c3f354886d907a671414a7f,KLIMA,0x4e78011ce80ee02d2c3e649fb657e45898257815
0x34965ba0ac2451a34a0471f04cca3f990b8dea27,USDC-WETH,2071542.89,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x73a041fef8271c619791e0af6a6224945b7a446f,USDC-OCAVU,1523253.73,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,OCAVU,0xf796969fa47fb0748c80b8b153cbb895e88cbd54
0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,WETH-DAI,1315119.44,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
0xdb995f975f1bfc3b2157495c47e4efb31196b2ca,USDC-NCT,1140287.32,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,NCT,0xd838290e877e0188a4a44700463419ed96c16107
0x999fc000f3f5176306c0753bad01d6a37644feef,NXD-USDT,1012462.18,NXD,0x228b5c21ac00155cf62c57bcc704c0da8187950b,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0xabee7668a96c49d27886d1a8914a54a5f9805041,USDC-AURUM,939236.70,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,AURUM,0x34d4ab47bee066f361fa52d792e69ac7bd05ee23
0xe8654f2b0a038a01bc273a2a7b7c48a76c0e58c5,USDC-POP,869381.44,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,POP,0xc5b57e9a1e7914fda753a88f24e5703e617ee50c
0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,WETH-USDT,723406.13,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0xd8e7d368ab9bdf0010a9934b0e801b3f38cecef6,GFC-WETH,644155.09,GFC,0x071ac29d569a47ebffb9e57517f855cb577dcc4c,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x55bc7d9e44b730c4a42b52c818c805476156d9c9,WETH-GET,595732.35,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,GET,0xdb725f82818de83e99f1dac22a9b5b51d3d04dd4
0xc16e382aa7353aad0f598856afd9a93513542970,DAI-USV,572448.94,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,USV,0xac63686230f64bdeaf086fe6764085453ab3023f
0x5cf66ceaf7f6395642cd11b5929499229edef531,VSQ-DAI,521933.49,VSQ,0x29f1e986fca02b7e54138c04c4f503dddd250558,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
