pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal
USDC/WETH,kmWETH/USDC-LINK,0xd51b929792cfcde30f2619e50e91513dcec89b23,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
USDC/WMATIC,kmWMATIC/USDC-LINK,0xe4b3c431e29b15978556f55b2cd046be614f558d,6,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
JPYC/USDC,kmUSDC/JPYC-LINK,0x70fcf93cd29fe41205940277afd8bcd4fff0cf24,18,JPYC,0x6ae7dfc73e0dde2aa99ac063dcf7e8a63265108c,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
WMATIC/USDC,kmUSDC/WMATIC-LINK,0x1fd87c778007973c342efb04f6e7658dacd24e53,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
USDT/WETH,kmWETH/USDT-LINK,0xef7f30c8f0763b83d8779fb90df99cb5e70425e8,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
USDT/WMATIC,kmWMATIC/USDT-LINK,0x97d7c8ad06d08635358a35e9862adbe2727c2340,6,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
DAI/WETH,kmWETH/DAI-LINK,0x12d7906b1c9a2e0f73d251bafdbd369fed6f8c64,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
WETH/WETH,kmWETH/WETH-LINK,0x170b87cc826c4f5593bc9f57aee786a2bb99cc26,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
DAI/WBTC,kmWBTC/DAI-LINK,0x99d6659207a7b0f4d906dfa3ff61f0f50e343555,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
SUSHI/USDC,kmUSDC/SUSHI-LINK,0x558f727304a7a387fa2b5404f9ab0472ab0c2f4a,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
WETH/SUSHI,kmSUSHI/WETH-LINK,0x2b17c2482d084474d366a76176240322c1a29f85,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
WMATIC/DAI,kmDAI/WMATIC-LINK,0xdaa8c0fae87dfc3a961eb569d0e6a6615d441a18,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
AAVE/USDC,kmUSDC/AAVE-LINK,0xc3c4cffb047205780fa0805923e244e86de69532,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
WETH/WMATIC,kmWMATIC/WETH-LINK,0x774fdc7150e445e15f28a2245eb1310ff842e07b,18,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
