kashi_pair,pair_address,asset,asset_address,collateral,collateral_address
kmWMATIC/SAND-LINK,0x156f542cb814f6bf2b279722c4b94fe3e8c68829,SAND,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmUSDC/LINK-LINK,0xa95440d200fb7da3672c6272e1f5c874dbdb5874,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmDAI/WBTC-LINK,0x5ce16b506d7581aa5d43b7087c1c7ff837379114,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmSNX/SUSHI-LINK,0x7b2ddb642387eb1b83774ad3845369106e7ba8e8,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,SNX,0x7E141940932E3D13bfa54B224cb4a16510519308
kmWETH/UNI-LINK,0x73f294bfbb28d8666243f6ecc4d8565008a66d2a,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6
kmWBTC/WETH-LINK,0xc7767032a4bdb48d5f1e054b382a5f40129864eb,WETH,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063
kmDAI/USDT-LINK,0x711c3d57c6d51cfbe758615cf3b98ddf2ce6191e,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmWMATIC/WMATIC-LINK,0x4e966acb88205c1782001fe9dc75995ae31e8770,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmUSDC/FXS-LINK,0xcfb46f44fe66e10d79f3cfcb427f456a114f5cb7,FXS,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmJPYC/WMATIC-LINK,0xa58aa3fa440ba17fb38957425dc130e727da0db4,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,JPYC,0xcE829A89d4A55a63418bcC43F00145adef0eDB8E
kmAAVE/LINK-LINK,0x8757df3db2e7419b81e5032f4e395e3782ec89fc,LINK,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6
kmWMATIC/SUSHI-LINK,0x61c0756359b916f7d609fd8b2cb66fa0def1442a,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmSUSHI/USDT-LINK,0x1588b61f538bb03027a23a18d74f46e06a7af126,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a
kmUSDC/DAI-LINK,0x0b6b77826745d4aad863f3ceb1cb4bbc0e7b3274,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDC,0xb33EaAd8d922B1083446DC23f610c2567fB5180f
kmDAI/UNI-LINK,0xdb55c5c70e51078fd837b1440b5884bad26017c6,UNI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmUSDT/MKR-LINK,0xe9d9ddc017237d70cff3130457ae6c29e3c81f74,MKR,0xb0897686c545045aFc77CF20eC7A532E3120E0F1,USDT,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c
kmDAI/SUSHI-LINK,0x1fb375b48a66c41a832eb1887d3ce9aa52776680,SUSHI,0x50B728D8D964fd00C2d0AAD81718b71311feF68a,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
kmWMATIC/DAI-LINK,0x13fdda9d4a0f009e6795ed3e7b8d0974f7baaa6b,DAI,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmWMATIC/AAVE-LINK,0xf0a30cdb7a207ef86f4ec72fca0baa4eec1be85c,AAVE,0xD85d1e945766Fea5Eda9103F918Bd915FbCa63E6,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
kmWMATIC/BZRX-LINK,0x96428c89a20d490d51348cfc3ab180ea3f25c037,BZRX,0x6f7C932e7684666C9fd1d44527765433e01fF61d,WMATIC,0xD6DF932A45C0f255f85145f286eA0b292B21C90B
